BusData,,,,
154-VINCENT,,,,
Dates,Vm(kV),Va(deg),Pl(kW),Ql(KVar)
03/22/2017 01:00,343.344,-59.61,925.5,158.9
03/22/2017 02:00,343.413,-59.17,910.7,159.5
03/22/2017 03:00,343.3785,-59.34,916.3,159.2
03/22/2017 04:00,343.3095,-59.71,929,158.8
03/22/2017 05:00,342.93,-61.81,999.8,156.1
03/22/2017 06:00,342.24,-65.45,1119,151.6
03/22/2017 07:00,341.9985,-66.59,1155,150.2
03/22/2017 08:00,342.2745,-65.28,1113,151.8
03/22/2017 09:00,342.378,-64.75,1096,152.4
03/22/2017 10:00,342.585,-63.71,1063,153.7
03/22/2017 11:00,342.792,-62.51,1023,155.2
03/22/2017 12:00,342.93,-61.9,1003,156
03/22/2017 13:00,342.8955,-62.03,1007,155.8
03/22/2017 14:00,342.861,-62.27,1015,155.5
03/22/2017 15:00,342.7575,-62.78,1032,154.9
03/22/2017 16:00,342.6885,-63.18,1045,154.4
03/22/2017 17:00,342.2745,-65.21,1111,151.9
03/22/2017 18:00,341.619,-68.39,1212,148
03/22/2017 19:00,341.55,-68.66,1220,147.6
03/22/2017 20:00,341.7915,-67.65,1189,148.9
03/22/2017 21:00,342.171,-65.79,1130,151.1
03/22/2017 22:00,342.654,-63.24,1047,154.3
03/22/2017 23:00,342.9645,-61.59,992.5,156.4
03/23/2017 00:00,343.1715,-60.52,956.6,157.7
03/23/2017 01:00,343.344,-59.61,925.5,158.9
03/23/2017 02:00,343.413,-59.17,910.7,159.5
03/23/2017 03:00,343.3785,-59.34,916.3,159.2
03/23/2017 04:00,343.3095,-59.71,929,158.8
03/23/2017 05:00,342.93,-61.81,999.8,156.1
03/23/2017 06:00,342.24,-65.45,1119,151.6
03/23/2017 07:00,341.9985,-66.59,1155,150.2
03/23/2017 08:00,342.2745,-65.28,1113,151.8
03/23/2017 09:00,342.378,-64.75,1096,152.4
03/23/2017 10:00,342.585,-63.71,1063,153.7
03/23/2017 11:00,342.792,-62.51,1023,155.2
03/23/2017 12:00,342.93,-61.9,1003,156
03/23/2017 13:00,342.8955,-62.03,1007,155.8
03/23/2017 14:00,342.861,-62.27,1015,155.5
03/23/2017 15:00,342.7575,-62.78,1032,154.9
03/23/2017 16:00,342.6885,-63.18,1045,154.4
03/23/2017 17:00,342.2745,-65.21,1111,151.9
03/23/2017 18:00,341.619,-68.39,1212,148
03/23/2017 19:00,341.55,-68.66,1220,147.6
03/23/2017 20:00,341.7915,-67.65,1189,148.9
03/23/2017 21:00,342.171,-65.79,1130,151.1
03/23/2017 22:00,342.654,-63.24,1047,154.3
03/23/2017 23:00,342.9645,-61.59,992.5,156.4
03/24/2017 00:00,343.1715,-60.52,956.6,157.7
03/24/2017 01:00,343.344,-59.61,925.5,158.9
03/24/2017 02:00,343.413,-59.17,910.7,159.5
03/24/2017 03:00,343.3785,-59.34,916.3,159.2
03/24/2017 04:00,343.3095,-59.71,929,158.8
03/24/2017 05:00,342.93,-61.81,999.8,156.1
03/24/2017 06:00,342.24,-65.45,1119,151.6
03/24/2017 07:00,341.9985,-66.59,1155,150.2
03/24/2017 08:00,342.2745,-65.28,1113,151.8
03/24/2017 09:00,342.378,-64.75,1096,152.4
03/24/2017 10:00,342.585,-63.71,1063,153.7
03/24/2017 11:00,342.792,-62.51,1023,155.2
03/24/2017 12:00,342.93,-61.9,1003,156
03/24/2017 13:00,342.8955,-62.03,1007,155.8
03/24/2017 14:00,342.861,-62.27,1015,155.5
03/24/2017 15:00,342.7575,-62.78,1032,154.9
03/24/2017 16:00,342.6885,-63.18,1045,154.4
03/24/2017 17:00,342.2745,-65.21,1111,151.9
03/24/2017 18:00,341.619,-68.39,1212,148
03/24/2017 19:00,341.55,-68.66,1220,147.6
03/24/2017 20:00,341.7915,-67.65,1189,148.9
03/24/2017 21:00,342.171,-65.79,1130,151.1
03/24/2017 22:00,342.654,-63.24,1047,154.3
03/24/2017 23:00,342.9645,-61.59,992.5,156.4
03/25/2017 00:00,343.1715,-60.52,956.6,157.7
03/25/2017 01:00,343.344,-59.61,925.5,158.9
03/25/2017 02:00,343.413,-59.17,910.7,159.5
03/25/2017 03:00,343.3785,-59.34,916.3,159.2
03/25/2017 04:00,343.3095,-59.71,929,158.8
03/25/2017 05:00,342.93,-61.81,999.8,156.1
03/25/2017 06:00,342.24,-65.45,1119,151.6
03/25/2017 07:00,341.9985,-66.59,1155,150.2
03/25/2017 08:00,342.2745,-65.28,1113,151.8
03/25/2017 09:00,342.378,-64.75,1096,152.4
03/25/2017 10:00,342.585,-63.71,1063,153.7
03/25/2017 11:00,342.792,-62.51,1023,155.2
03/25/2017 12:00,342.93,-61.9,1003,156
03/25/2017 13:00,342.8955,-62.03,1007,155.8
03/25/2017 14:00,342.861,-62.27,1015,155.5
03/25/2017 15:00,342.7575,-62.78,1032,154.9
03/25/2017 16:00,342.6885,-63.18,1045,154.4
03/25/2017 17:00,342.2745,-65.21,1111,151.9
03/25/2017 18:00,341.619,-68.39,1212,148
03/25/2017 19:00,341.55,-68.66,1220,147.6
03/25/2017 20:00,341.7915,-67.65,1189,148.9
03/25/2017 21:00,342.171,-65.79,1130,151.1
03/25/2017 22:00,342.654,-63.24,1047,154.3
03/25/2017 23:00,342.9645,-61.59,992.5,156.4
03/26/2017 00:00,343.1715,-60.52,956.6,157.7
03/26/2017 01:00,343.344,-59.61,925.5,158.9
03/26/2017 02:00,343.413,-59.17,910.7,159.5
03/26/2017 03:00,343.3785,-59.34,916.3,159.2
03/26/2017 04:00,343.3095,-59.71,929,158.8
03/26/2017 05:00,342.93,-61.81,999.8,156.1
03/26/2017 06:00,342.24,-65.45,1119,151.6
03/26/2017 07:00,341.9985,-66.59,1155,150.2
03/26/2017 08:00,342.2745,-65.28,1113,151.8
03/26/2017 09:00,342.378,-64.75,1096,152.4
03/26/2017 10:00,342.585,-63.71,1063,153.7
03/26/2017 11:00,342.792,-62.51,1023,155.2
03/26/2017 12:00,342.93,-61.9,1003,156
03/26/2017 13:00,342.8955,-62.03,1007,155.8
03/26/2017 14:00,342.861,-62.27,1015,155.5
03/26/2017 15:00,342.7575,-62.78,1032,154.9
03/26/2017 16:00,342.6885,-63.18,1045,154.4
03/26/2017 17:00,342.2745,-65.21,1111,151.9
03/26/2017 18:00,341.619,-68.39,1212,148
03/26/2017 19:00,341.55,-68.66,1220,147.6
03/26/2017 20:00,341.7915,-67.65,1189,148.9
03/26/2017 21:00,342.171,-65.79,1130,151.1
03/26/2017 22:00,342.654,-63.24,1047,154.3
03/26/2017 23:00,342.9645,-61.59,992.5,156.4
03/27/2017 00:00,343.1715,-60.52,956.6,157.7
03/27/2017 01:00,343.344,-59.61,925.5,158.9
03/27/2017 02:00,343.413,-59.17,910.7,159.5
03/27/2017 03:00,343.3785,-59.34,916.3,159.2
03/27/2017 04:00,343.3095,-59.71,929,158.8
03/27/2017 05:00,342.93,-61.81,999.8,156.1
03/27/2017 06:00,342.24,-65.45,1119,151.6
03/27/2017 07:00,341.9985,-66.59,1155,150.2
03/27/2017 08:00,342.2745,-65.28,1113,151.8
03/27/2017 09:00,342.378,-64.75,1096,152.4
03/27/2017 10:00,342.585,-63.71,1063,153.7
03/27/2017 11:00,342.792,-62.51,1023,155.2
03/27/2017 12:00,342.93,-61.9,1003,156
03/27/2017 13:00,342.8955,-62.03,1007,155.8
03/27/2017 14:00,342.861,-62.27,1015,155.5
03/27/2017 15:00,342.7575,-62.78,1032,154.9
03/27/2017 16:00,342.6885,-63.18,1045,154.4
03/27/2017 17:00,342.2745,-65.21,1111,151.9
03/27/2017 18:00,341.619,-68.39,1212,148
03/27/2017 19:00,341.55,-68.66,1220,147.6
03/27/2017 20:00,341.7915,-67.65,1189,148.9
03/27/2017 21:00,342.171,-65.79,1130,151.1
03/27/2017 22:00,342.654,-63.24,1047,154.3
03/27/2017 23:00,342.9645,-61.59,992.5,156.4
03/28/2017 00:00,343.1715,-60.52,956.6,157.7
03/28/2017 01:00,343.344,-59.61,925.5,158.9
03/28/2017 02:00,343.413,-59.17,910.7,159.5
03/28/2017 03:00,343.3785,-59.34,916.3,159.2
03/28/2017 04:00,343.3095,-59.71,929,158.8
03/28/2017 05:00,342.93,-61.81,999.8,156.1
03/28/2017 06:00,342.24,-65.45,1119,151.6
03/28/2017 07:00,341.9985,-66.59,1155,150.2
03/28/2017 08:00,342.2745,-65.28,1113,151.8
03/28/2017 09:00,342.378,-64.75,1096,152.4
03/28/2017 10:00,342.585,-63.71,1063,153.7
03/28/2017 11:00,342.792,-62.51,1023,155.2
03/28/2017 12:00,342.93,-61.9,1003,156
03/28/2017 13:00,342.8955,-62.03,1007,155.8
03/28/2017 14:00,342.861,-62.27,1015,155.5
03/28/2017 15:00,342.7575,-62.78,1032,154.9
03/28/2017 16:00,342.6885,-63.18,1045,154.4
03/28/2017 17:00,342.2745,-65.21,1111,151.9
03/28/2017 18:00,341.619,-68.39,1212,148
03/28/2017 19:00,341.55,-68.66,1220,147.6
03/28/2017 20:00,341.7915,-67.65,1189,148.9
03/28/2017 21:00,342.171,-65.79,1130,151.1
03/28/2017 22:00,342.654,-63.24,1047,154.3
03/28/2017 23:00,342.9645,-61.59,992.5,156.4
03/29/2017 00:00,343.1715,-60.52,956.6,157.7
03/29/2017 01:00,343.344,-59.61,925.5,158.9
03/29/2017 02:00,343.413,-59.17,910.7,159.5
03/29/2017 03:00,343.3785,-59.34,916.3,159.2
03/29/2017 04:00,343.3095,-59.71,929,158.8
03/29/2017 05:00,342.93,-61.81,999.8,156.1
03/29/2017 06:00,342.24,-65.45,1119,151.6
03/29/2017 07:00,341.9985,-66.59,1155,150.2
03/29/2017 08:00,342.2745,-65.28,1113,151.8
03/29/2017 09:00,342.378,-64.75,1096,152.4
03/29/2017 10:00,342.585,-63.71,1063,153.7
03/29/2017 11:00,342.792,-62.51,1023,155.2
03/29/2017 12:00,342.93,-61.9,1003,156
03/29/2017 13:00,342.8955,-62.03,1007,155.8
03/29/2017 14:00,342.861,-62.27,1015,155.5
03/29/2017 15:00,342.7575,-62.78,1032,154.9
03/29/2017 16:00,342.6885,-63.18,1045,154.4
03/29/2017 17:00,342.2745,-65.21,1111,151.9
03/29/2017 18:00,341.619,-68.39,1212,148
03/29/2017 19:00,341.55,-68.66,1220,147.6
03/29/2017 20:00,341.7915,-67.65,1189,148.9
03/29/2017 21:00,342.171,-65.79,1130,151.1
03/29/2017 22:00,342.654,-63.24,1047,154.3
03/29/2017 23:00,342.9645,-61.59,992.5,156.4
03/30/2017 00:00,343.1715,-60.52,956.6,157.7
03/30/2017 01:00,343.344,-59.61,925.5,158.9
03/30/2017 02:00,343.413,-59.17,910.7,159.5
03/30/2017 03:00,343.3785,-59.34,916.3,159.2
03/30/2017 04:00,343.3095,-59.71,929,158.8
03/30/2017 05:00,342.93,-61.81,999.8,156.1
03/30/2017 06:00,342.24,-65.45,1119,151.6
03/30/2017 07:00,341.9985,-66.59,1155,150.2
03/30/2017 08:00,342.2745,-65.28,1113,151.8
03/30/2017 09:00,342.378,-64.75,1096,152.4
03/30/2017 10:00,342.585,-63.71,1063,153.7
03/30/2017 11:00,342.792,-62.51,1023,155.2
03/30/2017 12:00,342.93,-61.9,1003,156
03/30/2017 13:00,342.8955,-62.03,1007,155.8
03/30/2017 14:00,342.861,-62.27,1015,155.5
03/30/2017 15:00,342.7575,-62.78,1032,154.9
03/30/2017 16:00,342.6885,-63.18,1045,154.4
03/30/2017 17:00,342.2745,-65.21,1111,151.9
03/30/2017 18:00,341.619,-68.39,1212,148
03/30/2017 19:00,341.55,-68.66,1220,147.6
03/30/2017 20:00,341.7915,-67.65,1189,148.9
03/30/2017 21:00,342.171,-65.79,1130,151.1
03/30/2017 22:00,342.654,-63.24,1047,154.3
03/30/2017 23:00,342.9645,-61.59,992.5,156.4
03/31/2017 00:00,343.1715,-60.52,956.6,157.7
03/31/2017 01:00,343.344,-59.61,925.5,158.9
03/31/2017 02:00,343.413,-59.17,910.7,159.5
03/31/2017 03:00,343.3785,-59.34,916.3,159.2
03/31/2017 04:00,343.3095,-59.71,929,158.8
03/31/2017 05:00,342.93,-61.81,999.8,156.1
03/31/2017 06:00,342.24,-65.45,1119,151.6
03/31/2017 07:00,341.9985,-66.59,1155,150.2
03/31/2017 08:00,342.2745,-65.28,1113,151.8
03/31/2017 09:00,342.378,-64.75,1096,152.4
03/31/2017 10:00,342.585,-63.71,1063,153.7
03/31/2017 11:00,342.792,-62.51,1023,155.2
03/31/2017 12:00,342.93,-61.9,1003,156
03/31/2017 13:00,342.8955,-62.03,1007,155.8
03/31/2017 14:00,342.861,-62.27,1015,155.5
03/31/2017 15:00,342.7575,-62.78,1032,154.9
03/31/2017 16:00,342.6885,-63.18,1045,154.4
03/31/2017 17:00,342.2745,-65.21,1111,151.9
03/31/2017 18:00,341.619,-68.39,1212,148
03/31/2017 19:00,341.55,-68.66,1220,147.6
03/31/2017 20:00,341.7915,-67.65,1189,148.9
03/31/2017 21:00,342.171,-65.79,1130,151.1
03/31/2017 22:00,342.654,-63.24,1047,154.3
03/31/2017 23:00,342.9645,-61.59,992.5,156.4
